EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
22160021|2019-04-30T13:42:22.050000|41.8913|13.558|14.9|BULLETIN-INGV||||ML|3.1|--|2 km W Collelongo (AQ)
22167431|2019-05-01T13:52:15.520000|39.509|16.3098|8.9|BULLETIN-INGV||||ML|3.1|--|2 km E Bisignano (CS)
22177931|2019-05-02T21:01:36.120000|38.1222|15.1728|6.8|BULLETIN-INGV||||ML|3.2|--|1 km N Rodì Milici (ME)
22188251|2019-05-04T04:41:46.810000|39.7213|15.5377|290.9|BULLETIN-INGV||||ML|3.1|--|Costa Calabra nord-occidentale (Cosenza)
22208771|2019-05-07T08:09:22.230000|37.8202|14.2182|6.2|BULLETIN-INGV||||Mw|3.3|--|3 km NE Gangi (PA)
22211121|2019-05-07T13:29:31.550000|37.8337|14.2232|4.5|BULLETIN-INGV||||ML|3.1|--|4 km NE Gangi (PA)
22220341|2019-05-09T03:14:22.460000|45.9672|13.8522|14.1|BULLETIN-INGV||||ML|3.4|--|Confine Italia-Slovenia (SLOVENIA)
22264521|2019-05-15T02:09:53.960000|42.9087|13.1613|10.5|BULLETIN-INGV||||ML|3.1|--|2 km NE Castelsantangelo sul Nera (MC)
22283991|2019-05-18T18:30:46.710000|43.3765|13.8613|7.8|BULLETIN-INGV||||ML|3.0|--|Costa Marchigiana Maceratese (Macerata)
22298401|2019-05-21T04:45:25.870000|43.3935|13.8938|8.3|BULLETIN-INGV||||ML|3.3|--|Costa Marchigiana Maceratese (Macerata)
22299431|2019-05-21T08:13:33.250000|41.2992|16.3003|29.9|BULLETIN-INGV||||Mw|3.7|--|3 km SE Barletta (BT)
22309641|2019-05-22T14:37:36.030000|44.8467|9.9272|23.0|BULLETIN-INGV||||ML|3.5|--|5 km E Castell'Arquato (PC)
22329241|2019-05-25T10:38:02.480000|44.5363|10.1188|19.7|BULLETIN-INGV||||ML|3.4|--|7 km W Tizzano Val Parma (PR)
22338321|2019-05-26T23:31:57.290000|38.5167|16.14|20.4|BULLETIN-INGV||||Mw|3.6|--|1 km SE San Pietro di Caridà (RC)
22344041|2019-05-28T08:48:06.630000|46.3388|6.7633|10.1|BULLETIN-INGV||||ML|3.9|--|Confine Svizzera-Francia (SVIZZERA, FRANCIA)
22350901|2019-05-29T14:21:53.340000|37.6667|15.1475|6.7|BULLETIN-INGV||||ML|3.0|--|2 km S Santa Venerina (CT)
22356481|2019-05-30T16:48:49.760000|39.829|15.8667|279.4|BULLETIN-INGV||||ML|3.3|--|1 km NE Santa Domenica Talao (CS)
22368331|2019-06-01T09:14:19.110000|38.5083|16.1417|10.1|BULLETIN-INGV||||Mw|3.4|--|2 km SE San Pietro di Caridà (RC)
22398011|2019-06-05T17:35:02.310000|44.9617|7.0335|15.0|BULLETIN-INGV||||ML|3.1|--|2 km W Massello (TO)
22398531|2019-06-05T20:23:18.140000|37.8513|14.5552|9.8|BULLETIN-INGV||||Mw|3.6|--|6 km NE Cerami (EN)
22399041|2019-06-05T22:29:30.580000|43.2507|12.474|9.1|BULLETIN-INGV||||ML|3.0|--|13 km E Umbertide (PG)
22404351|2019-06-06T15:24:04.790000|41.7365|15.1093|16.1|BULLETIN-INGV||||ML|3.2|--|9 km E Rotello (CB)
22408201|2019-06-07T10:22:54.240000|43.9837|10.1472|9.9|BULLETIN-INGV||||ML|3.2|--|3 km NW Forte dei Marmi (LU)
22410691|2019-06-07T19:00:42.160000|38.6455|14.416|14.3|BULLETIN-INGV||||ML|3.2|--|Isole Eolie (Messina)
22428821|2019-06-10T13:17:09.780000|42.6048|13.2723|10.6|BULLETIN-INGV||||ML|3.1|--|3 km SW Amatrice (RI)
22433771|2019-06-11T06:54:42.810000|46.0623|14.1883|5.6|BULLETIN-INGV||||ML|3.0|--|Slovenia (SLOVENIA)
22438991|2019-06-12T01:10:21.930000|39.6092|15.8563|261.4|BULLETIN-INGV||||ML|3.1|--|1 km SW Belvedere Marittimo (CS)
22455551|2019-06-14T13:57:23.240000|46.3977|12.9973|8.0|BULLETIN-INGV||||Mw|3.7|--|1 km N Verzegnis (UD)
22459551|2019-06-15T04:12:45.950000|46.3967|12.9943|7.5|BULLETIN-INGV||||ML|3.5|--|1 km N Verzegnis (UD)
22465221|2019-06-15T17:31:30.500000|42.9447|11.8747|6.5|BULLETIN-INGV||||Mw|3.4|--|3 km SW Cetona (SI)
22471081|2019-06-16T13:40:54.970000|46.3967|12.9967|7.9|BULLETIN-INGV||||ML|3.1|--|1 km N Verzegnis (UD)
22499981|2019-06-20T09:15:58.820000|38.5022|16.1477|19.0|BULLETIN-INGV||||Mw|3.3|--|3 km SE San Pietro di Caridà (RC)
22504041|2019-06-20T21:24:22.620000|38.5037|16.1425|21.6|BULLETIN-INGV||||ML|3.0|--|2 km SE San Pietro di Caridà (RC)
22524231|2019-06-23T20:43:47.710000|41.8587|12.7625|10.6|BULLETIN-INGV||||Mw|3.6|--|3 km NE Colonna (RM)
22554591|2019-06-27T17:42:58.060000|38.4062|14.7262|22.1|BULLETIN-INGV||||ML|3.3|--|Isole Eolie (Messina)
